title,workload,url,school,registered_people,rating,instructor
Curso React e Node.js: consumindo APIs no React no projeto full stack,8,https://www.alura.com.br/curso-online-react-node-consumindo-apis-react,Programação,1633,9.1,Bernardo Severo da Silveira
Curso JavaScript I: algoritmos de ordenação,8,https://www.alura.com.br/curso-online-algoritmos-javascript-i-algoritmos-ordenacao,Programação,9829,9.2,Juliana Amoasei
Curso Algoritmos com JavaScript II: aprofundando em algoritmos de ordenação e busca,10,https://www.alura.com.br/curso-online-algoritmos-javascript-ii-aprofundando-ordenacao-busca,Programação,6443,9.2,Juliana Amoasei
Curso JavaScript: programação orientada a objetos,10,https://www.alura.com.br/curso-online-javascript-passos-programacao-orientada-objetos,Programação,7724,9.4,Juliana Amoasei
Curso Typescript: construção de uma API com tipagem segura,8,https://www.alura.com.br/curso-online-typescript-construcao-api-tipagem-segura,Programação,384,9.0,Emerson Laranja
Curso VSCode: aprendendo dicas e truques,1,https://www.alura.com.br/curso-online-vscode-dicas-truques,Programação,3765,9.0,Leonardo Sartorello
Curso WebSockets: implemente comunicações em tempo real com Socket.IO e MongoDB,10,https://www.alura.com.br/curso-online-websockets-comunicacoes-tempo-real-socket-io-mongodb,Programação,1947,9.2,Antônio Evaldo
Curso WebSockets: implemente autenticação e avance no Socket.IO,10,https://www.alura.com.br/curso-online-websockets-implemente-autenticacao-avance-socket-io,Programação,983,9.3,Antônio Evaldo
Curso Serverless com Node.js: aplicações eficientes na Cloud,10,https://www.alura.com.br/curso-online-serverless-node-js-aplicacoes-eficientes-cloud,Programação,1201,9.1,Lucas Santos
Curso Serverless com Node.js: integrando serviços com AWS,10,https://www.alura.com.br/curso-online-serverless-node-js-integrando-servicos-aws,Programação,559,9.2,Antônio Evaldo
Curso Serverless com Node.js: integrando serviços com mensageria,12,https://www.alura.com.br/curso-online-serverless-node-js-servicos-mensageria,Programação,406,8.9,Juliana Amoasei
"Curso JavaScript: utilizando tipos, variáveis e funções",8,https://www.alura.com.br/curso-online-javascript-utilizando-tipos-variaveis-funcoes,Programação,1247,9.3,Juliana Amoasei
Curso JavaScript: conhecendo arrays,8,https://www.alura.com.br/curso-online-javascript-conhecendo-arrays,Programação,643,9.2,Juliana Amoasei
Curso JavaScript: conhecendo objetos,8,https://www.alura.com.br/curso-online-javascript-conhecendo-objetos,Programação,58,,Juliana Amoasei
"Curso PHP: conceitos, lidando com dados, loops e mais",6,https://www.alura.com.br/curso-online-php-primeiros-passos,Programação,30229,9.5,Vinicius Dias
"Curso Avançando com PHP: Arrays, Strings, Função e Web",8,https://www.alura.com.br/curso-online-php-arrays-strings-funcoes,Programação,18137,9.5,Vinicius Dias
Curso PHP Strings: manipulando textos com PHP,8,https://www.alura.com.br/curso-online-php-strings-manipulando-textos-php,Programação,3308,9.5,Vinicius Dias
Curso PHP: manipulando coleções com Arrays,8,https://www.alura.com.br/curso-online-php-manipulando-colecoes-arrays,Programação,5510,9.5,Vinicius Dias
Curso PHP: dominando as Collections,8,https://www.alura.com.br/curso-online-php-dominando-collections,Programação,860,9.4,Vinicius Dias
"Curso Orientação a Objetos com PHP: Classes, métodos e atributos",8,https://www.alura.com.br/curso-online-orientacao-objetos-php-classes-metodos-atributos,Programação,2256,9.6,Vinicius Dias
"Curso Avançando com Orientação a Objetos com PHP: Herança, Polimorfismo e Interfaces",10,https://www.alura.com.br/curso-online-php-oo-heranca-polimorfirmo-interfaces,Programação,9031,9.5,Vinicius Dias
"Curso PHP Composer: Dependências, Autoload e Publicação",6,https://www.alura.com.br/curso-online-php-composer,Programação,8531,9.4,Vinicius Dias
Curso PHP: Programação Funcional,8,https://www.alura.com.br/curso-online-php-programacao-funcional,Programação,1218,9.4,Vinicius Dias
Curso PHP Exceptions: tratamento de erros,8,https://www.alura.com.br/curso-online-php-exceptions-tratamento-erros,Programação,5151,9.5,Vinicius Dias
Curso PHP I/O: trabalhando com arquivos e streams,10,https://www.alura.com.br/curso-online-php-io-arquivos-streams,Programação,3508,9.5,Vinicius Dias
Curso PHP e Behavior Driven Development: BDD com Behat,8,https://www.alura.com.br/curso-online-php-introducao-bdd,Programação,1302,9.2,Vinicius Dias
"Curso PHP Parallel: Processos, Threads e Channels",8,https://www.alura.com.br/curso-online-php-parallel-programacao-paralela,Programação,711,9.4,Vinicius Dias
Curso PHP e Clean Architecture: descomplicando arquitetura de software,8,https://www.alura.com.br/curso-online-php-introducao-clean-achitecture,Programação,2726,9.3,Vinicius Dias
Curso PHP e Domain Driven Design: apresentando os conceitos,8,https://www.alura.com.br/curso-online-domain-driven-design-php,Programação,2242,9.3,Vinicius Dias
Curso PHP Reativo: programação assíncrona em tempo real,8,https://www.alura.com.br/curso-online-php-reativo-programacao-assincrona-tempo-real,Programação,1090,9.5,Vinicius Dias
Curso PHP e PDO: trabalhando com bancos de dados,10,https://www.alura.com.br/curso-online-php-pdo-banco-de-dados,Programação,5719,9.4,Vinicius Dias
Curso Object Calisthenics: exercitando a Orientação a Objetos,6,https://www.alura.com.br/curso-online-object-calisthenics-exercitando-orientacao-objetos,Programação,2353,9.6,Vinicius Dias
Curso Metaprogramação com PHP: API de Reflection,8,https://www.alura.com.br/curso-online-metaprogramacao-php-api-reflection,Programação,728,9.4,Vinicius Dias
Curso Swoole PHP: servidor assíncrono e corrotinas com PHP,8,https://www.alura.com.br/curso-online-swoole-php-servidor-assincrono-corrotinas-php,Programação,794,9.4,Vinicius Dias
Curso Refatoração em PHP: boas práticas no seu código,8,https://www.alura.com.br/curso-online-refatoracao-php-boas-praticas-codigo,Programação,989,9.2,Vinicius Dias
Curso Laravel: criando uma aplicação com MVC,8,https://www.alura.com.br/curso-online-laravel-criando-aplicacao-mvc,Programação,5488,9.4,Vinicius Dias
"Curso Laravel: validando formulários, usando sessões e definindo relacionamentos",8,https://www.alura.com.br/curso-online-laravel-formularios-sessoes-relacionamentos,Programação,2846,9.4,Vinicius Dias
"Curso Laravel: transações, service container e autenticação",8,https://www.alura.com.br/curso-online-laravel-transacoes-service-container-autenticacao,Programação,2189,9.4,Vinicius Dias
"Curso Laravel: e-mails, eventos assíncronos, uploads e testes",8,https://www.alura.com.br/curso-online-laravel-e-mails-eventos-uploads-testes,Programação,1886,9.4,Vinicius Dias
Curso Laravel: construindo APIs,8,https://www.alura.com.br/curso-online-laravel-construindo-apis,Programação,3109,9.4,Vinicius Dias
Curso XDebug: ferramenta de debug e profiling,8,https://www.alura.com.br/curso-online-xdebug-ferramenta-debug-profiling,Programação,1001,9.4,Vinicius Dias
Curso PHP e TDD: testes com PHPUnit,6,https://www.alura.com.br/curso-online-phpunit-tdd,Programação,4535,9.4,Vinicius Dias
